id,canonical_name,alignment,first_comic_title,first_comic_year,n_variants,merge_rule
1,Aunt May,hero,Amazing Fantasy #15 (1962),1962,6,alias_map
2,Ben Reilly / Scarlet Spider,hero,Amazing Spider-Man #149 (1975),1975,2,alias_map
3,Black Cat,neutral,Amazing Spider-Man #194 (1979),1979,7,alias_map
4,Captain America,hero,Captain America Comics #1,1941,3,alias_map
5,Carnage,villain,Amazing Spider-Man #344 (1991),1991,6,alias_map
6,Chameleon,villain,Amazing Spider-Man #1 (1963),1963,3,alias_map
7,Daredevil,hero,Daredevil #1 (1964),1964,3,alias_map
8,Doctor Doom,villain,The Fantastic Four #5,1962,3,alias_map
9,Doctor Octopus,villain,Amazing Spider-Man #3 (1963),1963,5,alias_map
10,Doctor Strange,hero,Strange Tales #110 (1963),1963,3,alias_map
11,Eddie Brock / Venom,villain,Web of Spider-Man #18 (1986); ASM #300 (1988),1986,9,alias_map
12,Electro,villain,Amazing Spider-Man #9 (1964),1964,8,alias_map
13,Green Goblin / Norman Osborn,villain,Amazing Spider-Man #14 (1964),1964,7,alias_map
14,Gwen Stacy,hero,Amazing Spider-Man #31 (1965),1965,5,alias_map
15,Harry Osborn,villain,Amazing Spider-Man #31 (1965),1965,4,alias_map
16,Hulk,hero,The Incredible Hulk #1 (1962),1962,3,alias_map
17,Kingpin,villain,Amazing Spider-Man #50 (1967),1967,4,alias_map
18,Kraven the Hunter,villain,Amazing Spider-Man #15 (1964),1964,4,alias_map
19,Lizard,villain,Amazing Spider-Man #6 (1963),1963,6,alias_map
20,Madame Web,neutral,Amazing Spider-Man #210 (1980),1980,3,alias_map
21,Miles Morales,hero,Ultimate Fallout #4 (2011),2011,2,alias_map
22,Mysterio,villain,Amazing Spider-Man #13 (1964),1964,4,alias_map
23,Peter Parker / Spider-Man,hero,Amazing Fantasy #15 (1962),1962,15,alias_map
24,Rhino,villain,Amazing Spider-Man #41 (1966),1966,4,alias_map
25,Sandman,villain,Amazing Spider-Man #4 (1963),1963,4,alias_map
26,Scorpion,villain,Amazing Spider-Man #20 (1965),1965,5,alias_map
27,Shocker,villain,Amazing Spider-Man #46 (1967),1967,4,alias_map
28,Shriek,villain,Spider-Man Unlimited #1 (1993),1993,2,alias_map
29,Silk,hero,,,2,alias_map
30,Silver Sable,neutral,Amazing Spider-Man #265,1985,2,alias_map
31,Spider-Girl,hero,Spider-Girl #1 (1998),1998,2,alias_map
32,Spider-Ham,hero,Marvel Tails (1983),1983,3,alias_map
33,Spider-Man Noir,hero,Spider-Man Noir #1 (2009),2009,2,alias_map
34,Spider-Punk,hero,Spider-Verse (2014),2014,2,alias_map
35,Takuya Yamashiro / Spider-Man,hero,,,2,alias_map
36,The Spot,villain,Amazing Spider-Man #589 (2009),1985,2,alias_map
37,Tinkerer,villain,Amazing Spider-Man #2,1963,2,alias_map
38,Tombstone,villain,Web of Spider-Man #36 (1988),1988,4,alias_map
39,Uncle Ben,hero,Amazing Fantasy #15 (1962),1962,4,alias_map
40,Vulture,villain,Amazing Spider-Man #2 (1963),1963,5,alias_map
41,Wolverine,hero,Incredible Hulk #180,1974,5,alias_map
42,Yuri Watanabe,antihero,Free Comic Book Day,2010,2,alias_map
43,Jack O'Lantern,villain,,,1,singleton
44,Miguel O'Hara / Spider-Man 2099,hero,Spider-Man 2099 #1 (1992),1992,2,token_set
45,Miles' Peter Parker (blonde),hero,Amazing Fantasy #15 (1962),1962,1,singleton
46,O'Neil,hero,,,1,singleton
47,Black Panther / T'Challa,hero,,,1,singleton
48,Aaron Davis / Prowler,villain,Amazing Spider-Man #78 (1969),1969,2,token_set
49,Dr. Teddy Paine / Agony (symbiote),hero,,,1,singleton
50,Al Rodriguez,hero,,,1,singleton
51,Albert Moon,neutral,,,1,singleton
52,Alistair Smythe,villain,Amazing Spider-Man #292 (1987),1987,1,singleton
53,Amaria,neutral,,,1,singleton
54,Amazoness,villain,,,1,singleton
55,Anne Marie Hoag,hero,Damage Control #1 (1989),1989,1,singleton
56,Anne Weying,hero,Amazing Spider-Man #375 (1993),1993,1,singleton
57,Anya Corazon,hero,Amazing Fantasy #1,2004,1,singleton
